metabolite	raw.label	class	subclass	label	label.no.units
mldltgpct	Triglycerides to total lipids ratio in medium LDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in medium LDL  
sldlplpct	Phospholipids to total lipids ratio in small LDL (%)	Ratios	Ratios	NA	Phospholipids to total lipids ratio in small LDL 
sldlcpct	Total cholesterol to total lipids ratio in small LDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in small LDL  
sldlcepct	Cholesterol esters to total lipids ratio in small LDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in small LDL  
sldlfcpct	Free cholesterol to total lipids ratio in small LDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in small LDL  
sldltgpct	Triglycerides to total lipids ratio in small LDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in small LDL  
xlhdlplpct	Phospholipids to total lipids ratio in very large HDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in very large HDL  
xlhdlcpct	Total cholesterol to total lipids ratio in very large HDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in very large HDL  
xlhdlcepct	Cholesterol esters to total lipids ratio in very large HDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in very large HDL  
xlhdlfcpct	Free cholesterol to total lipids ratio in very large HDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in very large HDL  
xlhdltgpct	Triglycerides to total lipids ratio in very large HDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in very large HDL  
lhdlplpct	Phospholipids to total lipids ratio in large HDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in large HDL  
lhdlcpct	Total cholesterol to total lipids ratio in large HDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in large HDL  
lhdlcepct	Cholesterol esters to total lipids ratio in large HDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in large HDL  
lhdlfcpct	Free cholesterol to total lipids ratio in large HDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in large HDL  
lhdltgpct	Triglycerides to total lipids ratio in large HDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in large HDL  
mhdlplpct	Phospholipids to total lipids ratio in medium HDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in medium HDL  
mhdlcpct	Total cholesterol to total lipids ratio in medium HDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in medium HDL  
mhdlcepct	Cholesterol esters to total lipids ratio in medium HDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in medium HDL  
mhdlfcpct	Free cholesterol to total lipids ratio in medium HDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in medium HDL  
mhdltgpct	Triglycerides to total lipids ratio in medium HDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in medium HDL  
shdlplpct	Phospholipids to total lipids ratio in small HDL (%) 	Ratios	Ratios	NA	Phospholipids to total lipids ratio in small HDL  
shdlcpct	Total cholesterol to total lipids ratio in small HDL (%) 	Ratios	Ratios	NA	Total cholesterol to total lipids ratio in small HDL  
shdlcepct	Cholesterol esters to total lipids ratio in small HDL (%) 	Ratios	Ratios	NA	Cholesterol esters to total lipids ratio in small HDL  
shdlfcpct	Free cholesterol to total lipids ratio in small HDL (%) 	Ratios	Ratios	NA	Free cholesterol to total lipids ratio in small HDL  
shdltgpct	Triglycerides to total lipids ratio in small HDL (%) 	Ratios	Ratios	NA	Triglycerides to total lipids ratio in small HDL  
dagtg	Ratio of diacylglycerol to triglycerides	Ratios	Ratios	NA	Ratio of diacylglycerol to triglycerides
tgpg	Ratio of triglycerides to phosphoglycerides 	Ratios	Ratios	NA	Ratio of triglycerides to phosphoglycerides 
unsatdeg	Estimated degree of unsaturation	Ratios	Ratios	NA	Estimated degree of unsaturation
