metabolite	Metabolite measure [unit]	Cross-__sectional association [beta (95% CI); P per kg/m2]				Causal effect estimate [beta (95% CI); P per kg/m2]			
		b	lower_ci	upper_ci	p	b	lower_ci	upper_ci	p
ala	Alanine [µmol/l]	2.84	2.3	3.39	1.00E-24	1.09	-1.11	3.3	0.33
gln	Glutamine [µmol/l]	-2.52	-3.45	-1.59	1.00E-07	0.309	-2.41	3.03	0.82
	Glycine [µmol/l]	-0.818	-1.28	-0.355	0.0005	0.957	-1.07	2.99	0.36
his	Histidine [µmol/l]	0.143	-0.0276	0.313	0.1	0.0927	-0.356	0.542	0.69
	Homocysteine [µmol/l]	0.0236	0.00063	0.0465	0.04	0.00511	-0.214	0.224	0.96
ile	Isoleucine [µmol/l]	1.13	1.03	1.24	2.00E-105	1.03	0.594	1.47	4.00E-06
leu	Leucine [µmol/l]	1.35	1.27	1.43	7.00E-249	1.29	0.748	1.82	3.00E-06
val	Valine [µmol/l]	2.14	1.99	2.29	4.00E-164	2.22	1.15	3.29	5.00E-05
phe	Phenylalanine [µmol/l]	1.15	1.09	1.21	2.00E-292	0.974	0.35	1.6	0.002
tyr	Tyrosine [µmol/l]	0.77	0.678	0.861	1.00E-60	0.787	0.423	1.15	2.00E-05
ace	Acetate [µmol/l]	-0.213	-0.268	-0.159	2.00E-14	-0.0188	-0.388	0.351	0.92
acace	log Acetoacetate [µmol/l]	-0.00751	-0.0102	-0.00485	3.00E-08	-0.00538	-0.0236	0.0128	0.0128
bohbut	log beta-__hydroxy-__ butyrate [µmol/l]	-0.0109	-0.0136	-0.00814	5.00E-15	-0.01	-0.0287	0.00866	0.29
crea	Creatinine [µmol/l]	0.0264	-0.155	0.208	0.8	-0.131	-0.559	0.296	0.55
	Urea [µmol/l]	-0.0832	-0.213	0.0467	0.2	-0.0976	-1.81	1.61	0.91
alb	Albumin [cu]	-8.20E-05	-2.10E-04	4.30E-05	0.2	-0.00014	-6.30E-04	-3.50E-04	0.58
	log C-__reactive protein [mg/L]	0.147	0.133	0.162	2.00E-84	0.112	0.0364	0.188	0.004
	Phospholipase ac-__ tivity [nmol/ml/min]	0.0273	0.0151	0.0395	1.00E-05	0.0545	-0.00444	0.113	0.07
gp	Glycoprotein acetyls [cu]	0.0189	0.0165	0.0213	5.00E-53	0.0129	0.00579	0.0199	0.0004
	log Alanine amino-__ transferase [U/L]	0.0263	0.00902	0.0437	0.003	0.0177	-0.0181	0.0535	0.33
	log gamma-__glutamine amino-__ transferase [U/L]	0.0437	0.0404	0.0469	2.00E-152	0.0376	0.0216	3.536	4.00E-06
	log Bilirubin [µmol/L]	-0.0256	-0.0379	-0.0133	4.00E-05	-0.00267	-0.0505	0.045	0.91
	log Leptin [ng/ml]	0.012	0.116	0.124	1.00E-300	0.13	0.0981	0.162	1.00E-15
	Adiponectin [ug/mL]	-0.21	-0.266	-0.154	2.00E-13	-0.212	-0.833	0.408	0.5
	Testosterone (Men) [nmol/l]	-0.491	-0.575	-0.408	2.00E-30	-0.472	-1.06	0.111	0.11
	Testosterone (Women) [nmol/l]	0.0249	0.0153	0.0345	4.00E-07	0.0108	-0.0151	0.0366	0.41
	log SHBG (men) [nmol/l]	-0.052	-0.0563	-0.0476	1.00E-120	-0.0576	-0.0779	-0.0374	2.00E-08
	log SHBG (women) [nmol/l]	-0.0476	-0.0571	-0.0382	6.00E-23	-0.0639	-0.103	-0.0246	0.001
	log Vitamin D [nmol/l]	-0.0113	-0.0148	-0.00784	2.00E-10	0.0145	-0.0115	-0.0406	0.27
	log Insulin [IU/L]	0.0592	0.0539	0.0645	1.00E-106	0.0336	0.0185	0.0487	1.00E-05
	Systolic blood pressure [mmHg]	0.973	0.857	1.09	9.00E-61	1.09	0.551	1.64	8.00E-05
	Diastolic blood pressure [mmHg]	0.788	0.717	0.859	4.00E-106	1.12	0.527	1.7	0.0002
