exposure	metabolite	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	meta_direction
whr	mvldlfc	Free cholesterol in medium VLDL (mmol/l)	0.274959700654047	0.0558899242405597	8.66924883278849e-07	0.277890253723019	0.038775522451725	7.6860165849776e-13	2.85534850160008e-17	0.0127782730067922	0.000535761927842577	1.27055832567986e-116	+ + + +
whr	mvldll	Total lipids in medium VLDL (mmol/l)	0.270141117144321	0.0578759799046939	3.04759108136488e-06	0.385042183112114	0.0492534030143477	5.38505494187541e-15	7.64056306911046e-19	0.102493020662867	0.00425559429041587	1.02661049718164e-118	+ + + +
whr	mvldltg	Triglycerides in medium VLDL (mmol/l)	0.286168959933335	0.0555014942661153	2.52201922946309e-07	0.172658055324893	0.0387686386429434	8.44621829530715e-06	5.93776334612394e-11	0.0571714502906801	0.00234621879159888	2.85590059876581e-121	+ + + +
whr	phe	Phenylalanine (mmol/l)	0.179487074088671	0.0440641530399739	4.63491282264287e-05	0.195438463804242	0.0330731658468745	3.43614659352521e-09	4.85244232923767e-12	0.000838007036270685	0.000105891728255455	3.32223689527645e-15	+ + + +
whr	serumtg	Serum total triglycerides (mmol/l)	0.294475929156172	0.0573534876568097	2.83040760834606e-07	0.383491746326987	0.0482900725479505	1.99879661957915e-15	2.82439963110301e-20	0.183644895157208	0.0077906416326473	3.76795664072252e-114	+ + + +
whr	shdll	Total lipids in small HDL (mmol/l)	0.129205400635226	0.0447447049639629	0.00388176900849083	0.144385479358066	0.0325493292128601	9.1689584858133e-06	6.46031758542997e-07	0.0330167900275284	0.00192129838199197	1.31953415096337e-63	+ + + +
whr	shdltg	Triglycerides in small HDL (mmol/l)	0.304270797546656	0.0523780323199301	6.2798323894709e-09	0.332872257322892	0.0449818201237821	1.36029813772183e-13	4.22952006291623e-20	0.00503232930058309	0.00020799606949411	1.04902303206647e-119	+ + + +
whr	svldll	Total lipids in small VLDL (mmol/l)	0.300640633709317	0.0602173122048138	5.95734872853414e-07	0.369440427330591	0.0489568681305066	4.47993545615163e-14	1.22954234465998e-18	0.074944472124816	0.003043429317511	1.29820878609057e-123	+ + + +
whr	svldltg	Triglycerides in small VLDL (mmol/l)	0.314564825104797	0.0567053977437296	2.90027789291004e-08	0.241951044664007	0.0427982047508653	1.57397224370532e-08	1.65812712343953e-14	0.0345129759072152	0.00140752628598538	1.16892692269136e-122	+ + + +
whr	totfa	Total fatty acids (mmol/l)	0.138432493068234	0.0591695556442269	0.0193049262973975	0.20153322335166	0.043382229598702	3.39213023437618e-06	1.14869859947205e-06	0.503021327576583	0.0340408806306103	5.60460769347917e-48	+ + + +
whr	tyr	Tyrosine (mmol/l)	0.148025802967894	0.0429279403428169	0.000564254271526857	0.109627401080159	0.0311349045408556	0.00042984960444012	3.93700150795119e-06	0.00220923798724013	0.0001922652222044	5.05318874442644e-30	+ + + +
whr	val	Valine (mmol/l)	0.195088758035914	0.0412098137367367	2.20098233902666e-06	0.174064982718657	0.0307601466414679	1.52450518388735e-08	1.07459045180537e-12	0.00754841687383043	0.000492875434538456	2.70284196004961e-51	+ + + +
whr	vldld	Mean diameter for VLDL particles (nm)	0.257109678048858	0.0548040367571265	2.71292999788261e-06	0.373023753552423	0.0462236464310837	7.03115367846032e-16	9.29115836063608e-20	0.48016081388974	0.019319815499019	1.05337397775983e-125	+ + + +
whr	xlhdlfc	Free cholesterol in very large HDL (mmol/l)	-0.256827544706182	0.0456330661873566	1.82203488576375e-08	-0.0885799289336738	0.0331071460197491	0.00746060418366865	3.22421680217724e-09	-0.00993029811320593	0.000441084841711344	6.24152561723402e-105	- - - -
