exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
WHR_Pulit_316	sldll	0.112877847332851	0.0328979417326399	0.192857752933063	0.00567222206910869	0.118177659780814	-0.011423594031812	0.247778913593439	0.0739044261602776	2.58948612787708	1	0.107575232167971	0.00537909551989746	0.0123670813519149	0.0733423173883772	1.60918803372293	0.613822993977642	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total lipids (mmol/l)	Total lipids	no
WHR_Pulit_316	sldlp	0.0931806810471637	0.0136600393018162	0.172701322792511	0.0216389614005452	0.099825193433127	-0.0586288539571847	0.258279240823439	0.216917337670685	3.91926156894347	1	0.0477358435751921	0.00974946636920559	0.0184865336291201	0.0987393861091185	1.97971249653667	0.744849895213915	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	Particle concentration (mol/l)	Particle concentration	no
WHR_Pulit_316	sm	-0.0344583840770422	-0.0951887302634231	0.0262719621093387	0.266102421576327	-0.0260887240658428	-0.116947520491133	0.0647700723594477	0.57358885239387	2.01947559613048	1	0.155292764147387	0.00224058158556247	0.00607830894786642	0.0473347819849471	1.42108254374279	0.504821943916479	Sphingomyelins (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Sphingomyelins (mmol/l)	Sphingomyelins	no
WHR_Pulit_316	svldlc	-0.015309359918635	-0.079339548929706	0.0487208290924361	0.639341648613335	0.0446293158288444	-0.379735770117303	0.468994401774991	0.836694010212706	40.3877838969772	1	2.08239067624816e-10	0.0914420700473407	0.13259529164679	0.302393898826251	6.35513838535222	0.975240037865142	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
WHR_Pulit_316	svldlfc	-0.00587429057199173	-0.0617825125879827	0.0500339314439992	0.836842548010621	0.0929478255775764	-0.297193629850897	0.48308928100605	0.640539616188079	35.9909517641779	1	1.98235929555747e-09	0.0770605702515446	0.112070939071309	0.277597857073041	5.9992459329634	0.972215238803568	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
WHR_Pulit_316	svldll	0.342061983181893	0.267607945831143	0.416516020532643	2.16444334473853e-19	0.342061983181893	0.267607945831143	0.416516020532643	2.16444334473853e-19	0.785873572945844	1	0.375350790207298	0	0.00408155184205516	0	1	0	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total lipids (mmol/l)	Total lipids	no
WHR_Pulit_316	svldlp	-0.0465289306614424	-0.115786514151462	0.0227286528285768	0.187921928008995	0.0362191799885708	-0.49454859779126	0.566986957768401	0.893603099724828	53.0456248989321	1	3.2589005621998e-13	0.14391013460326	0.207423477264891	0.379354892683961	7.28324274612155	0.981148303900552	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	Particle concentration	no
WHR_Pulit_316	svldlpl	-0.0312327375305514	-0.09876661902794	0.0363011439668371	0.364705914406956	0.0337719553333528	-0.491374473417327	0.558918384084032	0.899696703909079	56.7878427004284	1	4.85458331379168e-14	0.141054213995125	0.203053109382383	0.375571849311321	7.53577087632237	0.982390597134051	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Phospholipids (mmol/l)	Phospholipids	no
WHR_Pulit_316	svldltg	0.268303472350442	0.201348742258802	0.335258202442081	4.02845024047631e-15	0.268780285028318	0.199901737754609	0.337658832302028	2.03748262968584e-14	1.04465434047311	1	0.306741460673459	0.000126964591865651	0.00349314625071727	0.0112678565781452	1.02208333342889	0.0427455654402291	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Triglycerides (mmol/l)	Triglycerides	no
WHR_Pulit_316	totfa	0.179472011093471	0.110899212702842	0.248044809484099	2.90186446120626e-07	0.179472011093471	0.110899212702842	0.248044809484099	2.90186446120626e-07	0.73964625207419	1	0.38977421974906	0	0.00346220323152761	0	1	0	Total fatty acids (mmol/l)	Fatty acids	Fatty acids	Total fatty acids (mmol/l)	Total fatty acids	no
WHR_Pulit_316	totpg	-0.000431126729664799	-0.0558738500302861	0.0550115965709565	0.987840051516555	-0.000431126729664799	-0.0558738500302861	0.0550115965709565	0.987840051516555	0.0320810191893038	1	0.857849955594602	0	0.00226327809463241	0	1	0	Total phosphoglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Phosphoglycerides (mmol/l)	Phosphoglycerides	no
WHR_Pulit_316	tyr	0.12286360697728	0.0734642489109323	0.172262965043627	1.08960592403009e-06	0.12286360697728	0.0734642489109323	0.172262965043627	1.08960592403009e-06	0.524282819447044	1	0.46902044899223	0	0.00179676559193299	0	1	0	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	Tyrosine (mmol/l)	Tyrosine	no
WHR_Pulit_316	val	0.181587350315584	0.133272721670547	0.229901978960621	1.75303141223595e-13	0.181587350315584	0.133272721670547	0.229901978960621	1.75303141223595e-13	0.167136958664858	1	0.682668919450967	0	0.00171872384829625	0	1	0	Valine (mmol/l)	Amino acids	Branched-chain amino acids	Valine (mmol/l)	Valine	no
