id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Locke BMI EU sex combined 77 SNPs clumped	1Z4IUg	TotCho.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0949553428860906	0.0503064547150481	0.0590880057030665
Locke BMI EU sex combined 77 SNPs clumped	1Z4IUg	TotCho.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0279195943956521	0.064571780200702	0.666964923088328
Locke BMI EU sex combined 77 SNPs clumped	2GDTgs	Phe.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.390453744902441	0.0858524954627643	2.62854222706901e-05
Locke BMI EU sex combined 77 SNPs clumped	2GDTgs	Phe.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.269179790247292	0.0575803793935772	2.94164723932772e-06
Locke BMI EU sex combined 77 SNPs clumped	2GDTgs	Phe.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	0.216925565195332	0.0359719524105993	1.6354581492477e-09
Locke BMI EU sex combined 77 SNPs clumped	2GDTgs	Phe.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.278151107718705	0.0687607770247206	0.000147203747452081
Locke BMI EU sex combined 77 SNPs clumped	2Ij4AS	M-VLDL-PL_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.0382097907893498	0.110247142228145	0.730097310822144
Locke BMI EU sex combined 77 SNPs clumped	2Ij4AS	M-VLDL-PL_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.00790817987166186	0.0621309608947365	0.898716863594291
Locke BMI EU sex combined 77 SNPs clumped	2Ij4AS	M-VLDL-PL_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0379568417411516	0.0450901413255311	0.399900398984557
Locke BMI EU sex combined 77 SNPs clumped	2Ij4AS	M-VLDL-PL_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0141932365647226	0.0774964684280947	0.855280381242957
Locke BMI EU sex combined 77 SNPs clumped	2sepcx	M-HDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.00480270482152901	0.122005116071815	0.968728111425236
Locke BMI EU sex combined 77 SNPs clumped	2sepcx	M-HDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.0952912187886525	0.0590387456984308	0.106517568545029
Locke BMI EU sex combined 77 SNPs clumped	2sepcx	M-HDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	0.15134370884931	0.0503718176105104	0.00265990281388922
Locke BMI EU sex combined 77 SNPs clumped	2sepcx	M-HDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.1218248402315	0.0652083148575618	0.0664554614394241
Locke BMI EU sex combined 77 SNPs clumped	2u0WE5	M-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.0409557139582047	0.103911046087753	0.694850690871166
Locke BMI EU sex combined 77 SNPs clumped	2u0WE5	M-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.171626895525486	0.0606433796630369	0.00465332972421559
Locke BMI EU sex combined 77 SNPs clumped	2u0WE5	M-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.180211416602942	0.0430407993644574	2.82677694465664e-05
Locke BMI EU sex combined 77 SNPs clumped	2u0WE5	M-HDL-FC_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.180091562957065	0.0654001790710235	0.00772202502098932
Locke BMI EU sex combined 77 SNPs clumped	351TgL	L-LDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.0547737985118914	0.241585386452304	0.821394538081357
Locke BMI EU sex combined 77 SNPs clumped	351TgL	L-LDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.0598264633119871	0.0623514633430033	0.337305028070927
Locke BMI EU sex combined 77 SNPs clumped	351TgL	L-LDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0470182446955275	0.0985121348040255	0.633160054919562
Locke BMI EU sex combined 77 SNPs clumped	351TgL	L-LDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0802804755463793	0.0703104022480751	0.257927494964739
Locke BMI EU sex combined 77 SNPs clumped	3AMB1m	VLDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.119539144797986	0.0911911635052171	0.194817666761557
Locke BMI EU sex combined 77 SNPs clumped	3AMB1m	VLDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.038400046815001	0.0594752201585783	0.51850745431133
Locke BMI EU sex combined 77 SNPs clumped	3AMB1m	VLDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0375461227372041	0.0359320215991609	0.296059498630919
Locke BMI EU sex combined 77 SNPs clumped	3AMB1m	VLDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0434161268480762	0.0707708833519387	0.541806905365205
Locke BMI EU sex combined 77 SNPs clumped	3kmSaF	M-LDL-L.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.085708027213474	0.251150572523711	0.734079440775266
Locke BMI EU sex combined 77 SNPs clumped	3kmSaF	M-LDL-L.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.123383949249942	0.0582213430349008	0.0340717124698003
Locke BMI EU sex combined 77 SNPs clumped	3kmSaF	M-LDL-L.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0593092493763711	0.102569534128363	0.563105769230372
Locke BMI EU sex combined 77 SNPs clumped	3kmSaF	M-LDL-L.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.136643762070763	0.0669072928405602	0.0453822154368455
Locke BMI EU sex combined 77 SNPs clumped	4WbtkV	L-LDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.0826522140382166	0.256879111939111	0.748738092446054
Locke BMI EU sex combined 77 SNPs clumped	4WbtkV	L-LDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.124025069175315	0.0590782484000004	0.0357873286221682
Locke BMI EU sex combined 77 SNPs clumped	4WbtkV	L-LDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	0.00892061409416725	0.10469731863176	0.932099333941519
Locke BMI EU sex combined 77 SNPs clumped	4WbtkV	L-LDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.124346189125154	0.0668063407109566	0.067445147824161
Locke BMI EU sex combined 77 SNPs clumped	55ZFN6	S-VLDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.0339604576156068	0.100771147409091	0.737269340593815
Locke BMI EU sex combined 77 SNPs clumped	55ZFN6	S-VLDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.0155816806376943	0.0625416743641818	0.803251896961784
Locke BMI EU sex combined 77 SNPs clumped	55ZFN6	S-VLDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	0.00602336900643044	0.0410845504763855	0.883440569828576
