id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Yengo BMI EU sex combined 656 SNPs	1KsCQI	S-HDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	891.8250480879	634	5.25242007573011e-11
Yengo BMI EU sex combined 656 SNPs	1KsCQI	S-HDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	891.825659920105	635	6.25450572029962e-11
Yengo BMI EU sex combined 656 SNPs	1KsCQI	S-HDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	890.96987563939	635	7.09633262455493e-11
Yengo BMI EU sex combined 656 SNPs	1KsCQI	S-HDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0705328702763096	635	1
Yengo BMI EU sex combined 656 SNPs	1rSuFF	IDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	757.116125365839	635	0.000582749693326661
Yengo BMI EU sex combined 656 SNPs	1rSuFF	IDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	754.806237848355	634	0.00064833538998166
Yengo BMI EU sex combined 656 SNPs	1rSuFF	IDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	757.238083322654	635	0.000576543845518296
Yengo BMI EU sex combined 656 SNPs	1rSuFF	IDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	757.048540877425	635	0.000586215551535641
Yengo BMI EU sex combined 656 SNPs	1rSuFF	IDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0585118419027316	635	1
Yengo BMI EU sex combined 656 SNPs	27twsa	DHA.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	787.362381074024	635	3.2634634261664e-05
Yengo BMI EU sex combined 656 SNPs	27twsa	DHA.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	784.817283638212	634	3.77939555756148e-05
Yengo BMI EU sex combined 656 SNPs	27twsa	DHA.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	787.369290493959	635	3.26114862212753e-05
Yengo BMI EU sex combined 656 SNPs	27twsa	DHA.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	787.350347263306	635	3.2674987561565e-05
Yengo BMI EU sex combined 656 SNPs	27twsa	DHA.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0599266085826942	635	1
Yengo BMI EU sex combined 656 SNPs	2apbj8	L-HDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	1054.0877343635	635	2.5367262274188e-23
Yengo BMI EU sex combined 656 SNPs	2apbj8	L-HDL-L.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	1054.39376856728	634	1.84457604062102e-23
Yengo BMI EU sex combined 656 SNPs	2apbj8	L-HDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	1056.12661341335	635	1.68237117392981e-23
Yengo BMI EU sex combined 656 SNPs	2apbj8	L-HDL-L.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	1053.05263269197	635	3.12338820667336e-23
