metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
lvldlfc	588	0.00284370289341706	0.000676798598497321	3.06756586809478e-05	0.00151717764036231	0.00417022814647181	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
lvldltg	588	0.0144073970717715	0.00341080214835684	2.7866655757733e-05	0.00772222486099209	0.0210925692825509	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
mvldlp	588	1.08265467571801e-09	2.28449823261156e-10	2.70416269900564e-06	6.34893022126144e-10	1.53041632930988e-09	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
mvldll	588	0.0379926536100779	0.00786425065419296	1.74121071317098e-06	0.0225787223278597	0.0534065848922961	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
mvldlpl	588	0.00703261937216768	0.00151444164075931	4.23835262876586e-06	0.00406431375627943	0.0100009249880559	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
mvldlc	588	0.0104211666432799	0.00213562426482656	1.37550207942229e-06	0.00623534308421984	0.01460699020234	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
mvldlce	588	0.00604489350331173	0.00120586279285463	7.13557122848478e-07	0.00368140242931665	0.0084083845773068	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
mvldlfc	588	0.00437605281851338	0.000995985095051971	1.32556820629832e-05	0.00242392203221152	0.00632818360481524	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
mvldltg	588	0.0205406683129795	0.00434791687348061	2.9019305976243e-06	0.0120187512409575	0.0290625853850015	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
svldlp	588	1.1994523267847e-09	2.46882445994372e-10	1.52543846949629e-06	7.15562732635731e-10	1.68334192093367e-09	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
svldll	588	0.0268979456017737	0.00522353751807866	3.5873075585992e-07	0.0166598120663395	0.0371360791372079	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
svldlpl	588	0.00536192236384206	0.00105576407616917	5.13187808466105e-07	0.00329262477455049	0.00743121995313363	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
svldlc	588	0.011315516890174	0.00213205091250309	1.58688847699698e-07	0.00713669710166794	0.0154943366786801	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
svldlce	588	0.0078504777687317	0.0014746798312329	1.45802763389339e-07	0.00496010529951522	0.0107408502379482	Cholesterol esters in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
svldlfc	588	0.00345517578165136	0.000729458246737905	2.7364939070394e-06	0.00202543761804507	0.00488491394525765	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
svldltg	588	0.0102352320631516	0.00237777804988276	1.96488799016058e-05	0.00557478708538139	0.0148956770409218	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
xsvldlp	588	7.34707587128073e-10	2.3668608368904e-10	0.00200148891142432	2.70802863097555e-10	1.19861231115859e-09	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
xsvldll	588	0.0141235003527934	0.0037442479420645	0.000178557976440805	0.00678477438634698	0.0214622263192398	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
xsvldlpl	588	0.0028104982344109	0.00123001230482696	0.0226774261701734	0.000399674116950058	0.00522132235187174	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
xsvldlc	588	0.00880655778510306	0.00210180704806562	3.22521198766319e-05	0.00468701597089445	0.0129260995993117	Total cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
xsvldlce	588	0.00714302623120208	0.00149339698416796	2.19301876549213e-06	0.00421596814223288	0.0100700843201713	Cholesterol esters in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
xsvldlfc	588	0.00167527350915451	0.000665951428789055	0.0121521914085323	0.000370008708727962	0.00298053830958106	Free cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
xsvldltg	588	0.00250019849412735	0.000848487517099068	0.00334161723202596	0.000837162960613177	0.00416323402764152	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
idlp	588	7.94601133970285e-10	6.75695471710232e-10	0.240088069449772	-5.2976199058177e-10	2.11896425852234e-09	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
idll	588	0.0147630594172372	0.00888604517338291	0.0971793378856532	-0.00265358912259331	0.0321797079570677	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
idlpl	588	0.00242120872967632	0.00227164494313639	0.286940480166043	-0.002031215358871	0.00687363281822364	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
idlc	588	0.0126589767599924	0.00603499871167448	0.036373971749596	0.000830379285110419	0.0244875742348744	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
idlce	588	0.0112128596643676	0.00430833836690925	0.00948907817754387	0.00276851646522547	0.0196572028635097	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
idlfc	588	0.00145801277898322	0.00178615909796342	0.414673523575321	-0.00204285905302508	0.00495888461099152	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
idltg	588	-0.00031971310921226	0.000920428786266245	0.728452844013886	-0.0021237535302941	0.00148432731186958	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
lldlp	588	1.61212553069566e-09	1.20975434132746e-09	0.183185420055584	-7.58992978306161e-10	3.98324403969748e-09	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
lldll	588	0.0162839154228788	0.0110249970627406	0.140219448859117	-0.00532507882009278	0.0378929096658504	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
lldlpl	588	0.00431502095561024	0.00224178411331669	0.0547420577899176	-7.8875906490472e-05	0.00870891781771095	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
lldlc	588	0.0131856056501732	0.00807034190126991	0.102837128071457	-0.00263226447631582	0.0290034757766622	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
lldlce	588	0.0110483117708472	0.0060979289058567	0.0705329217809168	-0.000903628884631932	0.0230002524263263	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
lldlfc	588	0.0021530095831549	0.00199080062436708	0.279934205135285	-0.00174895964060458	0.00605497880691438	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
lldltg	588	-0.00123263006775982	0.000973024135304298	0.205735015100622	-0.00313975737295624	0.000674497237436604	Triglycerides in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
mldlp	588	1.67984501091117e-09	1.03491456672613e-09	0.105096797089049	-3.48587539872044e-10	3.70827756169438e-09	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
mldll	588	0.0114126295200154	0.0067466258918507	0.0912593007319621	-0.00181075722801197	0.0246360162680428	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
mldlpl	588	0.00320101938829304	0.0013295698317916	0.0163712914402875	0.000595062517981504	0.00580697625860458	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
mldlc	588	0.00897225103702002	0.00502556992004196	0.0747327472105791	-0.000877866006262221	0.0188223680803023	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
