metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
xsvldlc	575	0.0123027709609995	0.00237097639292829	2.95040483686069e-07	0.00765565723086005	0.016949884691139	Total cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
xsvldlce	575	0.00867871385798102	0.00162825831717287	1.41927630774686e-07	0.0054873275563222	0.0118701001596398	Cholesterol esters in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
xsvldlfc	575	0.00362051248226916	0.000773821174270928	3.61327661268921e-06	0.00210382298069814	0.00513720198384018	Free cholesterol in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
xsvldltg	575	0.00717746953750739	0.000996547282982108	1.89207357055545e-12	0.00522423686286246	0.00913070221215232	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
idlp	575	3.62483023092784e-09	1.08283308005825e-09	0.000869359683917942	1.50247739401367e-09	5.74718306784201e-09	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
idll	575	0.0362779290042335	0.0111977016341708	0.00126633688011945	0.0143304338012587	0.0582254242072083	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
idlpl	575	0.0079861655547899	0.00281060167672459	0.00465249038634912	0.0024773862684097	0.0134949448411701	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
idlc	575	0.02531341313246	0.00767830386384568	0.00103930459673485	0.0102639375593225	0.0403628887055975	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
idlce	575	0.0210205121206208	0.0055391653357558	0.000163602066480692	0.0101637480625394	0.0318772761787022	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
idlfc	575	0.00429489063449669	0.00217050957272146	0.0483278733558926	4.06918719626295e-05	0.00854908939703075	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
idltg	575	0.00298444612589479	0.0010096949384409	0.00324836938756196	0.00100544404655063	0.00496344820523895	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
lldlp	575	6.50966441643448e-09	1.92365079033651e-09	0.000763685900616917	2.73930886737492e-09	1.0280019965494e-08	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
lldll	575	0.0463357619049108	0.0138303123479925	0.000860904898173163	0.0192283497028455	0.0734431741069761	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
lldlpl	575	0.00983867449867575	0.00288879251746759	0.000706384606325093	0.00417664116443927	0.0155007078329122	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
lldlc	575	0.0356014728485869	0.0102320772942722	0.000541149853809977	0.0155466013518134	0.0556563443453604	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
lldlce	575	0.0298284341191691	0.00778358099019003	0.000141188132722268	0.0145726153783966	0.0450842528599416	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
lldlfc	575	0.005776632733818	0.00246849705428683	0.0196223233914729	0.000938378507415813	0.0106148869602202	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
lldltg	575	0.000909517048268229	0.00100107935778664	0.363980883895114	-0.00105259849299359	0.00287163258953004	Triglycerides in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
mldlp	575	6.0856008797849e-09	1.70233538471137e-09	0.000380301714162078	2.74902352575062e-09	9.42217823381919e-09	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
mldll	575	0.0310744864496835	0.00868852081223235	0.000377970765253414	0.0140449856577081	0.0481039872416589	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
mldlpl	575	0.00705209967867314	0.00174608848092287	6.11234289072238e-05	0.00362976625606432	0.010474433101282	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
mldlc	575	0.02404371472519	0.00662658876857457	0.000310974945695741	0.0110556007387838	0.0370318287115962	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
mldlce	575	0.0202223840331166	0.00532034516310375	0.000159745839367414	0.00979450751343325	0.0306502605528	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
mldlfc	575	0.0038219858685425	0.00132717992182195	0.00412985604640806	0.00122071322177148	0.00642325851531352	Free cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
mldltg	575	-2.15401306236699e-05	0.000528829111170863	0.967524094738927	-0.00105804518851856	0.00101496492727122	Triglycerides in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
sldlp	575	6.54070076648442e-09	2.01741900588945e-09	0.00125614157242644	2.5865595149411e-09	1.04948420180277e-08	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
sldll	575	0.0182041764282575	0.00571730122457397	0.00153196918842112	0.00699826602809252	0.0294100868284225	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
sldlpl	575	0.00376655122510689	0.00133016793681282	0.00479550605296506	0.00115942206895376	0.00637368038126002	Phospholipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
sldlc	575	0.01345129288378	0.00419230250847118	0.00140929546640837	0.00523437996717649	0.0216682058003835	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
sldlce	575	0.0113008624160082	0.00330815704947731	0.000680839406234477	0.00481687459903267	0.0177848502329837	Cholesterol esters in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
sldlfc	575	0.00215242024698255	0.000913983533100077	0.0188631295503902	0.000361012522106399	0.0039438279718587	Free cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
sldltg	575	0.000987436607083924	0.000351288683579005	0.00511112784694646	0.000298910787269074	0.00167596242689877	Triglycerides in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
xlhdlp	575	-5.70749699798723e-08	8.61933565733853e-09	8.25003119664962e-11	-7.39688678682558e-08	-4.01810720914888e-08	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
xlhdll	575	-0.0576765680352053	0.00870797283000743	8.16321733112964e-11	-0.0747441947820199	-0.0406089412883907	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
xlhdlpl	575	-0.0353061284456744	0.00484189442064728	1.03398745027155e-12	-0.0447962415101431	-0.0258160153812057	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
xlhdlc	575	-0.0222604326883113	0.0037611835888622	5.62851247070079e-09	-0.0296323525224812	-0.0148885128541414	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
xlhdlce	575	-0.0147611325012023	0.00264241735971727	3.60566407095408e-08	-0.0199402705262481	-0.00958199447615645	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
xlhdlfc	575	-0.00749813607592736	0.00113996649618988	1.08834969912917e-10	-0.00973247040845952	-0.00526380174339519	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
xlhdltg	575	-0.000110334201418371	0.000292740745620883	0.70638838926347	-0.000684106062835302	0.00046343765999856	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
lhdlp	575	-1.72479853493849e-07	2.2477074174849e-08	7.3440628729005e-14	-2.16534918876553e-07	-1.28424788111145e-07	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
lhdll	575	-0.111034415966586	0.0143709212289795	5.054530848932e-14	-0.139201421575386	-0.0828674103577862	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
lhdlpl	575	-0.0482212563300827	0.00649287321750576	4.10837220865673e-13	-0.060947287836394	-0.0354952248237714	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
lhdlc	575	-0.0601452161748615	0.00752659107270006	7.5205987114669e-15	-0.0748973346773536	-0.0453930976723694	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
lhdlce	575	-0.0457035347398868	0.00573089766300667	8.4562575782259e-15	-0.0569360941593799	-0.0344709753203937	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
lhdlfc	575	-0.0144433997295326	0.00179878473393872	5.67692004589963e-15	-0.0179690178080525	-0.0109177816510127	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
lhdltg	575	-0.00266381801784281	0.000542901848767749	1.21254544178383e-06	-0.0037279056414276	-0.00159973039425802	Triglycerides in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
mhdlp	575	-7.08936490856262e-08	2.165568683827e-08	0.00112625474733065	-1.13338795288635e-07	-2.8448502882617e-08	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
mhdll	575	-0.0321382848266423	0.00941632035177674	0.000688271903690113	-0.0505942727161247	-0.0136822969371599	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
mhdlpl	575	-0.0143643697159673	0.0042273625268297	0.000726567397421886	-0.0226500002685535	-0.00607873916338109	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
mhdlc	575	-0.020096692906143	0.00510952340336993	9.42150912692059e-05	-0.0301113587767481	-0.0100820270355379	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
mhdlce	575	-0.0157778256475968	0.00399913013200932	8.96915312515476e-05	-0.0236161207063351	-0.00793953058885853	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
mhdlfc	575	-0.00432068585342698	0.00111933374033653	0.000126404736612132	-0.00651457998448658	-0.00212679172236738	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
mhdltg	575	0.00233123241640752	0.000500122630293687	3.92075058159296e-06	0.00135099206103189	0.00331147277178315	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
shdlp	575	1.1767395884227e-08	3.3172096147951e-08	0.722917943051614	-5.3249912565757e-08	7.6784704334211e-08	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	young_adults	model3	physical activity
shdll	575	0.00130555199254707	0.00752882152944162	0.862393239848174	-0.0134509382051585	0.0160620421902526	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total lipids (mmol/l)	Total lipids	no	bmi	young_adults	model3	physical activity
shdlpl	575	-0.00031178498802402	0.00364045426692558	0.931779233120067	-0.00744707535119816	0.00682350537515012	Phospholipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	young_adults	model3	physical activity
shdlc	575	-0.00143283726180278	0.00451100289413743	0.750881305672169	-0.0102744029343121	0.00740872841070658	Total cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	young_adults	model3	physical activity
shdlce	575	-0.000691104654680271	0.00393442489064035	0.860627054410667	-0.00840257744033536	0.00702036813097482	Cholesterol esters in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	young_adults	model3	physical activity
shdlfc	575	-0.000737807433530212	0.000737652262320211	0.317635375117786	-0.00218360586767783	0.000707991000617402	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	young_adults	model3	physical activity
shdltg	575	0.0030366577150655	0.000416904957717182	1.09156628280125e-12	0.00221952399793982	0.00385379143219118	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	young_adults	model3	physical activity
xxlvldlplpct	575	-0.731431128569501	0.926351397086187	0.430101517433461	-2.54707986685843	1.08421760971943	Phospholipids in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xxlvldlcpct	575	0.587722436546855	0.884321362371873	0.506574786785162	-1.14554743370202	2.32099230679573	Total cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xxlvldlcepct	575	0.0904724102791856	0.597543634565586	0.879708361133434	-1.08071311346936	1.26165793402773	Cholesterol esters in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xxlvldlfcpct	575	0.497169280954286	0.307109962610868	0.1060325857615	-0.104766245763015	1.09910480767159	Free cholesterol in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xxlvldltgpct	575	0.144002226092856	1.28882256677635	0.911075753128065	-2.38209000478879	2.6700944569745	Triglycerides in chylomicrons and extremely large VLDL to total lipids in chylomicrons and extremely large VLDL ratio (%)	Lipoprotein subclasses ratios	Extremely large VLDL ratios	Triglycerides (mmol/l)	Ratio	yes	bmi	young_adults	model3	physical activity
xlvldlplpct	575	0.119187579373873	1.03014953479083	0.907931825278223	-1.89990550881615	2.1382806675639	Phospholipids in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xlvldlcpct	575	0.897686517812242	0.988035254314632	0.36396993012208	-1.03886258064444	2.83423561626892	Total cholesterol in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xlvldlcepct	575	0.404591340836472	0.589071541443355	0.492471374170742	-0.749988880392504	1.55917156206545	Cholesterol esters in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xlvldlfcpct	575	0.492987884129067	0.405728217181083	0.224845404914251	-0.302239421545856	1.28821518980399	Free cholesterol in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xlvldltgpct	575	-1.01676278806226	1.38819664147919	0.464206204070763	-3.73762820536147	1.70410262923695	Triglycerides in very large VLDL to total lipids in very large VLDL ratio (%)	Lipoprotein subclasses ratios	Very large VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lvldlplpct	575	0.3982066795577	0.494163010821564	0.420684178479353	-0.570352821652566	1.36676618076797	Phospholipids in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lvldlcpct	575	1.6845457006663	0.668316518717477	0.0119894282259965	0.374645323980045	2.99444607735255	Total cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lvldlcepct	575	0.580097628302503	0.420529537118071	0.168301198967961	-0.244140264448916	1.40433552105392	Cholesterol esters in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lvldlfcpct	575	1.10449781328535	0.281532386155136	9.81132057437419e-05	0.552694336421284	1.65630129014942	Free cholesterol in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lvldltgpct	575	-2.08282801255845	0.778866097097107	0.00770728225187981	-3.60940556286878	-0.55625046224812	Triglycerides in large VLDL to total lipids in large VLDL ratio (%)	Lipoprotein subclasses ratios	Large VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
mvldlplpct	575	-0.331321447522437	0.120508554483516	0.00616158673218693	-0.567518214310128	-0.0951246807347456	Phospholipids in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
mvldlcpct	575	0.0163625542249607	0.205798324212131	0.93665684911022	-0.387002161230816	0.419727269680737	Total cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
mvldlcepct	575	-0.346989373054637	0.189946933459375	0.0682599293686178	-0.719285362635012	0.025306616525738	Cholesterol esters in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
mvldlfcpct	575	0.363327719603694	0.0771402588442519	3.11943568551204e-06	0.21213281226896	0.514522626938428	Free cholesterol in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
mvldltgpct	575	0.314897217237622	0.254578845196804	0.216623666245529	-0.184077319348114	0.813871753823358	Triglycerides in medium VLDL to total lipids in medium VLDL ratio (%)	Lipoprotein subclasses ratios	Medium VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
svldlplpct	575	-0.722120410049391	0.109646406246176	1.03271857362959e-10	-0.937027366291896	-0.507213453806886	Phospholipids in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
svldlcpct	575	0.245350383844678	0.240489598667541	0.308063006859256	-0.226009229543702	0.716709997233058	Total cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
svldlcepct	575	0.389551771683095	0.230253723172166	0.0912264978120233	-0.0617455257343503	0.84084906910054	Cholesterol esters in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
svldlfcpct	575	-0.144532140792562	0.0428809272321355	0.000801235664653954	-0.228578758167548	-0.0604855234175764	Free cholesterol in small VLDL to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
svldltgpct	575	0.477122908684172	0.216864092866414	0.028202359376081	0.0520692866660006	0.902176530702343	Triglycerides in small VLDL  to total lipids in small VLDL ratio (%)	Lipoprotein subclasses ratios	Small VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xsvldlplpct	575	-0.277137044919508	0.112415174763548	0.0139850167654691	-0.497470787456062	-0.0568033023829539	Phospholipids in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xsvldlcpct	575	0.0576274384395561	0.153606991926662	0.707680610261624	-0.243442265736701	0.358697142615814	Total cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xsvldlcepct	575	0.141892427824443	0.144542874630489	0.326684455264719	-0.141411606451315	0.425196462100201	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xsvldlfcpct	575	-0.083899071537951	0.0501905881232742	0.0951530655405421	-0.182272624259568	0.0144744811836664	Free cholesterol in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
xsvldltgpct	575	0.219244578624796	0.19218013461073	0.254422912234555	-0.157428485212235	0.595917642461827	Triglycerides in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
idlplpct	575	-0.295505644760156	0.0587019970731835	6.46156575618682e-07	-0.410561559023596	-0.180449730496716	Phospholipids in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
idlcpct	575	0.444550169941317	0.138148221224353	0.00136494389449425	0.173779656341585	0.715320683541049	Total cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
idlcepct	575	0.695313364019288	0.124362576345295	3.51255413934843e-08	0.45156271438251	0.939064013656066	Cholesterol esters in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
idlfcpct	575	-0.250597668481689	0.0453778847748076	5.09683913213505e-08	-0.339538322640312	-0.161657014323066	Free cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
idltgpct	575	-0.148866794267493	0.104437105374718	0.154585927816738	-0.35356352080194	0.0558299322669543	Triglycerides in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Triglycerides to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lldlplpct	575	-0.350728498878118	0.100303621598238	0.000507995632444872	-0.547323597210664	-0.154133400545572	Phospholipids in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
lldlcpct	575	0.641355390098673	0.156834926746125	4.95158917629575e-05	0.333958933676268	0.948751846521078	 Total cholesterol in large LDL to total lipids in large LDL ratio (%)	Lipoprotein subclasses ratios	Large LDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity
